symbol,name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
BBSI,"Barrett Business Services, Inc.",57.26,$414.77M,1993,Technology,Professional Services,http://www.nasdaq.com/symbol/bbsi
BCBP,"BCB Bancorp, Inc. (NJ)",12.25,$137.86M,2005,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bcbp
BCLI,Brainstorm Cell Therapeutics Inc.,2.09,$39.06M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bcli
BCOM,B Communications Ltd.,21.1113,$631M,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/bcom
BCOR,"Blucora, Inc.",13.65,$569.47M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/bcor
BCOV,Brightcove Inc.,7.9,$266.89M,2012,Technology,EDP Services,http://www.nasdaq.com/symbol/bcov
BCPC,Balchem Corporation,79.91,$2.53B,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/bcpc
BCRX,"BioCryst Pharmaceuticals, Inc.",5.175,$381.7M,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/bcrx
BCTF,"Bancorp 34, Inc.",12.37,$42.53M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/bctf
BDE,"Black Diamond, Inc.",6.4,$192.1M,n/a,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/bde
BDGE,"Bridge Bancorp, Inc.",34.35,$655.91M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bdge
BDSI,"BioDelivery Sciences International, Inc.",1.75,$94.71M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/bdsi
BEAT,"BioTelemetry, Inc.",19.8,$558.98M,2008,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/beat
BEAV,"B/E Aerospace, Inc.",59.02,$6B,1990,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/beav
BEBE,"bebe stores, inc.",0.5561,$44.53M,1998,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/bebe
BECN,"Beacon Roofing Supply, Inc.",46.05,$2.76B,2004,Consumer Services,RETAIL: Building Materials,http://www.nasdaq.com/symbol/becn
BELFA,Bel Fuse Inc.,23.85,$284.62M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/belfa
